probe_ms,K,dwell_ms,outage_pattern,unmonitored_motion_ms,false_rejoin_rate,detection_latency_ms,recovery_latency_ms,oscillation_count
100,1,0,clean_drop,200,0,348.63,2224.31,0
100,1,0,flapping,200,0,309.72,1205.53,0
100,1,0,degraded,200,0,343.69,591.4,0
100,1,1000,clean_drop,200,0,340.56,3215.35,0
100,1,1000,flapping,200,0,550.18,1354.85,0
100,1,1000,degraded,200,0,349.3,1557.7,0
100,1,5000,clean_drop,200,0,320.21,7272.26,0
100,1,5000,flapping,200,0,551.42,5334.62,0
100,1,5000,degraded,200,0,347.49,5535.48,0
100,3,0,clean_drop,200,0,339.9,2392.01,0
100,3,0,flapping,200,0,314.01,1355.56,0
100,3,0,degraded,200,0,308.16,926.23,0
100,3,1000,clean_drop,200,0,349.0,3039.81,0
100,3,1000,flapping,200,0,633.78,1557.73,0
100,3,1000,degraded,200,0,329.14,1763.65,0
100,3,5000,clean_drop,200,0,324.54,7306.91,0
100,3,5000,flapping,200,0,463.29,6231.52,0
100,3,5000,degraded,200,0,346.05,5738.3,0
100,5,0,clean_drop,200,0,337.01,2606.76,0
100,5,0,flapping,200,0,338.16,1572.95,0
100,5,0,degraded,200,0,362.44,942.72,0
100,5,1000,clean_drop,200,0,319.28,3253.32,0
100,5,1000,flapping,200,0,515.33,1375.64,0
100,5,1000,degraded,200,0,317.1,1595.61,0
100,5,5000,clean_drop,200,0,366.5,7227.07,0
100,5,5000,flapping,200,0,352.3,5533.85,0
100,5,5000,degraded,200,0,351.81,5582.49,0
250,1,0,clean_drop,500,0,774.51,2360.56,0
250,1,0,flapping,500,0,775.04,5.57,0
250,1,0,degraded,500,0,781.46,775.29,0
250,1,1000,clean_drop,500,0,761.59,3390.61,0
250,1,1000,flapping,500,0,1303.48,1940.48,0
250,1,1000,degraded,500,0,760.99,1799.09,0
250,1,5000,clean_drop,500,0,790.55,7410.13,0
250,1,5000,flapping,500,0,770.11,5932.14,0
250,1,5000,degraded,500,0,771.68,5882.89,0
250,3,0,clean_drop,500,0,785.15,2871.98,0
250,3,0,flapping,500,0,1039.75,1306.75,0
250,3,0,degraded,500,0,771.29,1277.81,0
250,3,1000,clean_drop,500,0,767.58,3332.71,0
250,3,1000,flapping,500,0,791.2,2355.34,0
250,3,1000,degraded,500,0,804.58,1804.27,0
250,3,5000,clean_drop,500,0,789.66,7518.5,0
250,3,5000,flapping,500,0,780.12,6002.18,0
250,3,5000,degraded,500,0,799.13,6017.86,0
250,5,0,clean_drop,500,0,796.8,3359.99,0
250,5,0,flapping,500,0,1334.3,1370.67,0
250,5,0,degraded,500,0,784.13,1846.34,0
250,5,1000,clean_drop,500,0,795.95,3384.07,0
250,5,1000,flapping,500,0,1282.44,2405.89,0
250,5,1000,degraded,500,0,794.65,1825.9,0
250,5,5000,clean_drop,500,0,785.17,7592.56,0
250,5,5000,flapping,500,0,1831.04,6157.04,0
250,5,5000,degraded,500,0,792.26,5932.31,0
500,1,0,clean_drop,1000,0,1544.74,2581.61,0
500,1,0,flapping,500,0,2034.02,52.22,0
500,1,0,degraded,1000,0,1573.73,824.87,0
500,1,1000,clean_drop,1000,0,1525.19,3565.54,0
500,1,1000,flapping,1000,0,1532.66,1516.83,0
500,1,1000,degraded,1000,0,1532.4,1885.25,0
500,1,5000,clean_drop,1000,0,1544.61,7647.48,0
500,1,5000,flapping,500,0,1519.91,5572.32,0
500,1,5000,degraded,1000,0,1542.75,5961.76,0
500,3,0,clean_drop,1000,0,1551.36,3636.49,0
500,3,0,flapping,1000,0,1538.99,1067.02,0
