timestamp,node,algorithm,cycle,exec_time_ms,trust_score
1786388645.6082048,CRYPTO_NODE,ZKP,0,334.64,100.0
1786388645.6150832,CRYPTO_NODE,ZKP,1,334.33,100.0
1786388645.6207466,CRYPTO_NODE,ZKP,2,334.69,100.0
1786388645.626561,CRYPTO_NODE,ZKP,3,334.5,100.0
1786388645.6322362,CRYPTO_NODE,ZKP,4,334.83,100.0
1786388645.6379805,CRYPTO_NODE,ZKP,5,334.79,100.0
1786388645.6436884,CRYPTO_NODE,ZKP,6,334.43,100.0
1786388645.7521567,CRYPTO_NODE,ZKP,7,334.7,100.0
1786388645.859176,CRYPTO_NODE,ZKP,8,334.83,100.0
1786388646.0196407,CRYPTO_NODE,ZKP,9,334.81,100.0
1786388646.3630974,CRYPTO_NODE,ZKP,10,334.69,100.0
1786388646.7031934,CRYPTO_NODE,ZKP,11,334.58,100.0
1786388647.0492086,CRYPTO_NODE,ZKP,12,334.77,100.0
1786388647.391954,CRYPTO_NODE,ZKP,13,334.47,100.0
1786388647.7352202,CRYPTO_NODE,ZKP,14,334.75,100.0
1786388647.94437,CRYPTO_NODE,ECC,0,111.53,100.0
1786388648.051982,CRYPTO_NODE,ECC,1,111.53,100.0
1786388648.1597438,CRYPTO_NODE,ECC,2,111.63,100.0
1786388648.2664597,CRYPTO_NODE,ECC,3,111.6,100.0
1786388648.3732455,CRYPTO_NODE,ECC,4,111.4,100.0
1786388648.4808266,CRYPTO_NODE,ECC,5,111.37,100.0
1786388648.587435,CRYPTO_NODE,ECC,6,111.55,100.0
1786388648.7073221,CRYPTO_NODE,ECC,7,111.47,100.0
1786388648.831073,CRYPTO_NODE,ECC,8,111.51,100.0
1786388648.9528542,CRYPTO_NODE,ECC,9,111.5,100.0
1786388649.0752177,CRYPTO_NODE,ECC,10,111.57,100.0
1786388649.1965313,CRYPTO_NODE,ECC,11,111.57,100.0
1786388649.3197088,CRYPTO_NODE,ECC,12,111.64,100.0
1786388649.4403658,CRYPTO_NODE,ECC,13,111.51,100.0
1786388649.5627463,CRYPTO_NODE,ECC,14,111.65,100.0
1786388649.6855593,CRYPTO_NODE,ECC,15,111.51,100.0
1786388649.8981838,CRYPTO_NODE,ECC,16,111.38,100.0
1786388650.0058622,CRYPTO_NODE,ECC,17,111.65,100.0
1786388650.1133943,CRYPTO_NODE,ECC,18,111.46,100.0
1786388650.219976,CRYPTO_NODE,ECC,19,111.53,100.0
1786388650.3277194,CRYPTO_NODE,ECC,20,111.46,100.0
1786388650.4354308,CRYPTO_NODE,ECC,21,111.45,100.0
1786388650.5421162,CRYPTO_NODE,ECC,22,111.5,100.0
1786388650.6562152,CRYPTO_NODE,ECC,23,111.56,100.0
1786388650.8676677,CRYPTO_NODE,ECC,24,111.67,100.0
1786388650.9751248,CRYPTO_NODE,ECC,25,111.55,100.0
1786388651.0826735,CRYPTO_NODE,ECC,26,111.69,100.0
1786388651.189387,CRYPTO_NODE,ECC,27,111.45,100.0
1786388651.296601,CRYPTO_NODE,ECC,28,111.64,100.0
1786388651.40366,CRYPTO_NODE,ECC,29,111.44,100.0
1786388651.5113237,CRYPTO_NODE,ECC,30,111.57,100.0
1786388651.6314683,CRYPTO_NODE,ECC,31,111.57,100.0
1786388651.8450847,CRYPTO_NODE,ECC,32,111.65,100.0
1786388651.9505813,CRYPTO_NODE,ECC,33,111.57,100.0
1786388652.057569,CRYPTO_NODE,ECC,34,111.42,100.0
1786388652.1641023,CRYPTO_NODE,ECC,35,111.56,100.0
1786388652.2714534,CRYPTO_NODE,ECC,36,111.5,100.0
1786388652.3791256,CRYPTO_NODE,ECC,37,111.56,100.0
1786388652.4858491,CRYPTO_NODE,ECC,38,111.42,100.0
1786388652.6029093,CRYPTO_NODE,ECC,39,111.43,100.0
1786388652.7262778,CRYPTO_NODE,ECC,40,111.56,100.0
1786388652.8482263,CRYPTO_NODE,ECC,41,111.49,100.0
1786388652.9697597,CRYPTO_NODE,ECC,42,111.43,100.0
1786388653.090374,CRYPTO_NODE,ECC,43,111.48,100.0
1786388653.212057,CRYPTO_NODE,ECC,44,111.37,100.0
1786388653.3323073,CRYPTO_NODE,ECC,45,111.55,100.0
1786388653.454946,CRYPTO_NODE,ECC,46,111.51,100.0
1786388653.576878,CRYPTO_NODE,ECC,47,111.56,100.0
1786388653.6980562,CRYPTO_NODE,ECC,48,111.59,100.0
1786388653.820955,CRYPTO_NODE,ECC,49,111.59,100.0
1786388653.9422944,CRYPTO_NODE,ECC,50,111.49,100.0
1786388654.064345,CRYPTO_NODE,ECC,51,111.63,100.0
1786388654.1862073,CRYPTO_NODE,ECC,52,111.48,100.0
1786388654.3091714,CRYPTO_NODE,ECC,53,111.47,100.0
1786388654.4308958,CRYPTO_NODE,ECC,54,111.55,100.0
1786388654.552991,CRYPTO_NODE,ECC,55,111.54,100.0
1786388654.6741347,CRYPTO_NODE,ECC,56,111.59,100.0
1786388654.8871071,CRYPTO_NODE,ECC,57,111.62,100.0
1786388654.9946678,CRYPTO_NODE,ECC,58,111.47,100.0
1786388655.102344,CRYPTO_NODE,ECC,59,111.45,100.0
1786388655.209968,CRYPTO_NODE,ECC,60,111.47,100.0
1786388655.3179464,CRYPTO_NODE,ECC,61,111.57,100.0
1786388655.4255846,CRYPTO_NODE,ECC,62,111.34,100.0
1786388655.532183,CRYPTO_NODE,ECC,63,111.54,100.0
1786388655.6470106,CRYPTO_NODE,ECC,64,111.65,100.0
1786388655.858642,CRYPTO_NODE,ECC,65,111.6,100.0
1786388655.9661617,CRYPTO_NODE,ECC,66,111.44,100.0
