Nodes,PayloadSize,ServiceRate,ArrivalRate,TrafficIntensity,AvgDelayMs,DropRate,EWJammingRate,SystemCrash
3,64,103.63,10,0.09649715333397665,10.165026416031312,0.0,0.0,0
3,64,103.63,10,0.09649715333397665,10.165026416031312,10.0,0.1,0
3,64,103.63,10,0.09649715333397665,10.165026416031312,20.0,0.2,0
3,64,103.63,10,0.09649715333397665,10.165026416031312,30.0,0.3,0
5,64,103.63,10,0.09649715333397665,10.165026416031312,0.0,0.0,0
5,64,103.63,10,0.09649715333397665,10.165026416031312,10.0,0.1,0
5,64,103.63,10,0.09649715333397665,10.165026416031312,20.0,0.2,0
5,64,103.63,10,0.09649715333397665,10.165026416031312,30.0,0.3,0
10,64,103.63,10,0.09649715333397665,10.165026416031312,0.0,0.0,0
10,64,103.63,10,0.09649715333397665,10.165026416031312,10.0,0.1,0
10,64,103.63,10,0.09649715333397665,10.165026416031312,20.0,0.2,0
10,64,103.63,10,0.09649715333397665,10.165026416031312,30.0,0.3,0
15,64,103.63,10,0.09649715333397665,10.165026416031312,0.0,0.0,0
15,64,103.63,10,0.09649715333397665,10.165026416031312,10.0,0.1,0
15,64,103.63,10,0.09649715333397665,10.165026416031312,20.0,0.2,0
15,64,103.63,10,0.09649715333397665,10.165026416031312,30.0,0.3,0
20,64,103.63,10,0.09649715333397665,10.165026416031312,0.0,0.0,0
20,64,103.63,10,0.09649715333397665,10.165026416031312,10.0,0.1,0
20,64,103.63,10,0.09649715333397665,10.165026416031312,20.0,0.2,0
20,64,103.63,10,0.09649715333397665,10.165026416031312,30.0,0.3,0
25,64,103.63,10,0.09649715333397665,10.165026416031312,0.0,0.0,0
25,64,103.63,10,0.09649715333397665,10.165026416031312,10.0,0.1,0
25,64,103.63,10,0.09649715333397665,10.165026416031312,20.0,0.2,0
25,64,103.63,10,0.09649715333397665,10.165026416031312,30.0,0.3,0
30,64,103.63,10,0.09649715333397665,10.165026416031312,0.0,0.0,0
30,64,103.63,10,0.09649715333397665,10.165026416031312,10.0,0.1,0
30,64,103.63,10,0.09649715333397665,10.165026416031312,20.0,0.2,0
30,64,103.63,10,0.09649715333397665,10.165026416031312,30.0,0.3,0
50,64,103.63,10,0.09649715333397665,10.165026416031312,0.0,0.0,0
50,64,103.63,10,0.09649715333397665,10.165026416031312,10.0,0.1,0
50,64,103.63,10,0.09649715333397665,10.165026416031312,20.0,0.2,0
50,64,103.63,10,0.09649715333397665,10.165026416031312,30.0,0.3,0
100,64,103.63,10,0.09649715333397665,10.165026416031312,0.0,0.0,0
100,64,103.63,10,0.09649715333397665,10.165026416031312,10.0,0.1,0
100,64,103.63,10,0.09649715333397665,10.165026416031312,20.0,0.2,0
100,64,103.63,10,0.09649715333397665,10.165026416031312,30.0,0.3,0
3,64,103.63,25,0.24124288333494162,11.18375376233663,0.0,0.0,0
3,64,103.63,25,0.24124288333494162,11.18375376233663,10.0,0.1,0
3,64,103.63,25,0.24124288333494162,11.18375376233663,20.0,0.2,0
3,64,103.63,25,0.24124288333494162,11.18375376233663,30.0,0.3,0
5,64,103.63,25,0.24124288333494162,11.18375376233663,0.0,0.0,0
5,64,103.63,25,0.24124288333494162,11.18375376233663,10.0,0.1,0
5,64,103.63,25,0.24124288333494162,11.18375376233663,20.0,0.2,0
5,64,103.63,25,0.24124288333494162,11.18375376233663,30.0,0.3,0
10,64,103.63,25,0.24124288333494162,11.18375376233663,0.0,0.0,0
10,64,103.63,25,0.24124288333494162,11.18375376233663,10.0,0.1,0
10,64,103.63,25,0.24124288333494162,11.18375376233663,20.0,0.2,0
10,64,103.63,25,0.24124288333494162,11.18375376233663,30.0,0.3,0
15,64,103.63,25,0.24124288333494162,11.18375376233663,0.0,0.0,0
15,64,103.63,25,0.24124288333494162,11.18375376233663,10.0,0.1,0
15,64,103.63,25,0.24124288333494162,11.18375376233663,20.0,0.2,0
15,64,103.63,25,0.24124288333494162,11.18375376233663,30.0,0.3,0
20,64,103.63,25,0.24124288333494162,11.18375376233663,0.0,0.0,0
20,64,103.63,25,0.24124288333494162,11.18375376233663,10.0,0.1,0
20,64,103.63,25,0.24124288333494162,11.18375376233663,20.0,0.2,0
20,64,103.63,25,0.24124288333494162,11.18375376233663,30.0,0.3,0
25,64,103.63,25,0.24124288333494162,11.18375376233663,0.0,0.0,0
25,64,103.63,25,0.24124288333494162,11.18375376233663,10.0,0.1,0
25,64,103.63,25,0.24124288333494162,11.18375376233663,20.0,0.2,0
25,64,103.63,25,0.24124288333494162,11.18375376233663,30.0,0.3,0
30,64,103.63,25,0.24124288333494162,11.18375376233663,0.0,0.0,0
30,64,103.63,25,0.24124288333494162,11.18375376233663,10.0,0.1,0
30,64,103.63,25,0.24124288333494162,11.18375376233663,20.0,0.2,0
30,64,103.63,25,0.24124288333494162,11.18375376233663,30.0,0.3,0
50,64,103.63,25,0.24124288333494162,11.18375376233663,0.0,0.0,0
50,64,103.63,25,0.24124288333494162,11.18375376233663,10.0,0.1,0
50,64,103.63,25,0.24124288333494162,11.18375376233663,20.0,0.2,0
50,64,103.63,25,0.24124288333494162,11.18375376233663,30.0,0.3,0
100,64,103.63,25,0.24124288333494162,11.18375376233663,0.0,0.0,0
100,64,103.63,25,0.24124288333494162,11.18375376233663,10.0,0.1,0
100,64,103.63,25,0.24124288333494162,11.18375376233663,20.0,0.2,0
100,64,103.63,25,0.24124288333494162,11.18375376233663,30.0,0.3,0
3,64,103.63,50,0.48248576666988324,14.147997700262135,0.0,0.0,0
3,64,103.63,50,0.48248576666988324,14.147997700262135,10.0,0.1,0
3,64,103.63,50,0.48248576666988324,14.147997700262135,20.0,0.2,0
3,64,103.63,50,0.48248576666988324,14.147997700262135,30.0,0.3,0
5,64,103.63,50,0.48248576666988324,14.147997700262135,0.0,0.0,0
5,64,103.63,50,0.48248576666988324,14.147997700262135,10.0,0.1,0
5,64,103.63,50,0.48248576666988324,14.147997700262135,20.0,0.2,0
5,64,103.63,50,0.48248576666988324,14.147997700262135,30.0,0.3,0
10,64,103.63,50,0.48248576666988324,14.147997700262135,0.0,0.0,0
10,64,103.63,50,0.48248576666988324,14.147997700262135,10.0,0.1,0
10,64,103.63,50,0.48248576666988324,14.147997700262135,20.0,0.2,0
10,64,103.63,50,0.48248576666988324,14.147997700262135,30.0,0.3,0
15,64,103.63,50,0.48248576666988324,14.147997700262135,0.0,0.0,0
