Nodes,PayloadSize,ServiceRate,ArrivalRate,TrafficIntensity,AvgDelayMs,DropRate,SystemCrash
5,1,8.65,2,0.231214,5143.3,0,0
10,1,8.65,1,0.115607,4893.3,0,0
15,1,8.65,0.666667,0.0770713,4593.3,0,0
20,1,8.65,0.5,0.0578035,3596.2,0,0
50,1,8.65,0.2,0.0231214,0,0,0
100,1,8.65,0.1,0.0115607,3596.2,0,0
200,1,8.65,0.05,0.00578035,3596.2,0,0
5,8,7.22,2,0.277008,1529.06,0,0
10,8,7.22,1,0.138504,660.009,0,0
15,8,7.22,0.666667,0.0923361,660.009,0,0
20,8,7.22,0.5,0.0692521,660.009,0,0
50,8,7.22,0.2,0.0277008,660.009,0,0
100,8,7.22,0.1,0.0138504,0,0,0
200,8,7.22,0.05,0.00692521,0,0,0
5,32,4.6,2,0.434783,423.41,0,0
10,32,4.6,1,0.217391,423.41,0,0
15,32,4.6,0.666667,0.144928,423.41,0,0
20,32,4.6,0.5,0.108696,423.41,0,0
50,32,4.6,0.2,0.0434783,423.41,0,0
100,32,4.6,0.1,0.0217391,0,0,0
200,32,4.6,0.05,0.0108696,0,0,0
5,64,3.1,2,0.645161,475.85,0,0
10,64,3.1,1,0.322581,475.85,0,0
15,64,3.1,0.666667,0.215054,475.85,0,0
20,64,3.1,0.5,0.16129,475.85,0,0
50,64,3.1,0.2,0.0645161,475.85,0,0
100,64,3.1,0.1,0.0322581,0,0,0
200,64,3.1,0.05,0.016129,0,0,0
5,1,8.65,5,0.578035,5293.3,0,0
10,1,8.65,2.5,0.289017,5193.3,0,0
15,1,8.65,1.66667,0.192678,5085.61,0,0
20,1,8.65,1.25,0.144509,4993.3,0,0
50,1,8.65,0.5,0.0578035,3596.2,0,0
100,1,8.65,0.25,0.0289017,3596.2,0,0
200,1,8.65,0.125,0.0144509,0,0,0
5,8,7.22,5,0.692521,3408.06,0,0
10,8,7.22,2.5,0.34626,2208.06,0,0
15,8,7.22,1.66667,0.23084,958.302,0,0
20,8,7.22,1.25,0.17313,660.009,0,0
50,8,7.22,0.5,0.0692521,660.009,0,0
100,8,7.22,0.25,0.034626,660.009,0,0
200,8,7.22,0.125,0.017313,0,0,0
5,32,4.6,5,1.08696,2526.81,0,1
10,32,4.6,2.5,0.543478,616.104,0,0
15,32,4.6,1.66667,0.362319,423.41,0,0
20,32,4.6,1.25,0.271739,423.41,0,0
50,32,4.6,0.5,0.108696,423.41,0,0
100,32,4.6,0.25,0.0543478,423.41,0,0
200,32,4.6,0.125,0.0271739,0,0,0
5,64,3.1,5,1.6129,2803.58,0,1
10,64,3.1,2.5,0.806452,1103.58,0,0
15,64,3.1,1.66667,0.537634,475.85,0,0
20,64,3.1,1.25,0.403226,475.85,0,0
50,64,3.1,0.5,0.16129,475.85,0,0
100,64,3.1,0.25,0.0806452,475.85,0,0
200,64,3.1,0.125,0.0403226,0,0,0
5,1,8.65,10,1.15607,5343.3,0,1
10,1,8.65,5,0.578035,5293.3,0,0
15,1,8.65,3.33333,0.385356,5239.46,0,0
20,1,8.65,2.5,0.289017,5193.3,0,0
50,1,8.65,1,0.115607,4893.3,0,0
100,1,8.65,0.5,0.0578035,3596.2,0,0
200,1,8.65,0.25,0.0289017,3596.2,0,0
