cycle,start_cycles,end_cycles,total_cycles,exec_time_ms,res1,res2,keybyte
0,4,14383542,14383538,224.74278125,1,1,77
1,4,14391442,14391438,224.86621875,1,1,196
2,4,14425003,14424999,225.390609375,1,1,194
3,4,14395610,14395606,224.93134375,1,1,140
4,4,14391234,14391230,224.86296875,1,1,122
5,4,14386142,14386138,224.78340625,1,1,189
6,4,14407035,14407031,225.109859375,1,1,233
7,4,14376634,14376630,224.63484375,1,1,85
8,4,14391553,14391549,224.867953125,1,1,102
9,4,14382660,14382656,224.729,1,1,254
10,4,14400006,14400002,225.00003125,1,1,150
11,4,14379509,14379505,224.679765625,1,1,17
12,4,14404082,14404078,225.06371875,1,1,211
13,4,14387430,14387426,224.80353125,1,1,56
14,4,14393473,14393469,224.897953125,1,1,240
15,4,14382469,14382465,224.726015625,1,1,239
16,4,14403789,14403785,225.059140625,1,1,90
17,4,14384447,14384443,224.756921875,1,1,160
18,4,14373381,14373377,224.584015625,1,1,47
19,4,14376744,14376740,224.6365625,1,1,134
20,4,14377028,14377024,224.641,1,1,138
21,4,14401178,14401174,225.01834375,1,1,76
22,4,14380971,14380967,224.702609375,1,1,223
23,4,14378963,14378959,224.671234375,1,1,91
24,4,14380623,14380619,224.697171875,1,1,205
25,4,14402145,14402141,225.033453125,1,1,44
26,4,14388579,14388575,224.821484375,1,1,17
27,4,14402568,14402564,225.0400625,1,1,153
28,4,14395789,14395785,224.934140625,1,1,189
29,4,14403592,14403588,225.0560625,1,1,119
30,4,14376505,14376501,224.632828125,1,1,226
31,4,14395280,14395276,224.9261875,1,1,171
32,4,14383835,14383831,224.747359375,1,1,251
33,4,14383335,14383331,224.739546875,1,1,229
34,4,14387070,14387066,224.79790625,1,1,203
35,4,14389414,14389410,224.83453125,1,1,141
36,4,14394603,14394599,224.915609375,1,1,188
37,4,14393936,14393932,224.9051875,1,1,203
38,4,14391948,14391944,224.874125,1,1,239
39,4,14387755,14387751,224.808609375,1,1,185
40,4,14407558,14407554,225.11803125,1,1,183
41,4,14386136,14386132,224.7833125,1,1,225
42,4,14414122,14414118,225.22059375,1,1,88
43,4,14388522,14388518,224.82059375,1,1,126
44,4,14418811,14418807,225.293859375,1,1,177
45,4,14372415,14372411,224.568921875,1,1,129
46,4,14402630,14402626,225.04103125,1,1,93
47,4,14373697,14373693,224.588953125,1,1,155
48,4,14405573,14405569,225.087015625,1,1,131
49,4,14390743,14390739,224.855296875,1,1,189
50,4,14377253,14377249,224.644515625,1,1,195
51,4,14396984,14396980,224.9528125,1,1,57
52,4,14388329,14388325,224.817578125,1,1,101
53,4,14396560,14396556,224.9461875,1,1,47
54,4,14383265,14383261,224.738453125,1,1,41
55,4,14393052,14393048,224.891375,1,1,37
56,4,14376087,14376083,224.626296875,1,1,108
57,4,14407169,14407165,225.111953125,1,1,200
58,4,14392809,14392805,224.887578125,1,1,106
59,4,14413208,14413204,225.2063125,1,1,144
60,4,14383417,14383413,224.740828125,1,1,157
61,4,14394592,14394588,224.9154375,1,1,224
62,4,14399840,14399836,224.9974375,1,1,30
63,4,14407542,14407538,225.11778125,1,1,225
64,4,14390175,14390171,224.846421875,1,1,150
65,4,14398632,14398628,224.9785625,1,1,68
66,4,14379612,14379608,224.681375,1,1,241
67,4,14390808,14390804,224.8563125,1,1,134
68,4,14395288,14395284,224.9263125,1,1,136
69,4,14380935,14380931,224.702046875,1,1,121
70,4,14390433,14390429,224.850453125,1,1,31
71,4,14393060,14393056,224.8915,1,1,85
72,4,14400666,14400662,225.01034375,1,1,76
73,4,14387707,14387703,224.807859375,1,1,43
74,4,14396809,14396805,224.950078125,1,1,73
75,4,14395085,14395081,224.923140625,1,1,126
76,4,14388303,14388299,224.817171875,1,1,120
77,4,14395039,14395035,224.922421875,1,1,30
78,4,14403852,14403848,225.060125,1,1,5
79,4,14376293,14376289,224.629515625,1,1,128
80,4,14402200,14402196,225.0343125,1,1,18
81,4,14377691,14377687,224.651359375,1,1,29
82,4,14392397,14392393,224.881140625,1,1,117
83,4,14379191,14379187,224.674796875,1,1,210
84,4,14396627,14396623,224.947234375,1,1,245
85,4,14371054,14371050,224.54765625,1,1,183
86,4,14394035,14394031,224.906734375,1,1,171
87,4,14409720,14409716,225.1518125,1,1,236
88,4,14388468,14388464,224.81975,1,1,141
89,4,14397811,14397807,224.965734375,1,1,34
90,4,14380319,14380315,224.692421875,1,1,162
91,4,14399396,14399392,224.9905,1,1,227
92,4,14365294,14365290,224.45765625,1,1,143
93,4,14404919,14404915,225.076796875,1,1,46
94,4,14388999,14388995,224.828046875,1,1,242
95,4,14406170,14406166,225.09634375,1,1,16
96,4,14391875,14391871,224.872984375,1,1,219
97,4,14411089,14411085,225.173203125,1,1,157
98,4,14384608,14384604,224.7594375,1,1,136
99,4,14400230,14400226,225.00353125,1,1,13
100,4,14380802,14380798,224.69996875,1,1,39
101,4,14391440,14391436,224.8661875,1,1,93
102,4,14376661,14376657,224.635265625,1,1,156
103,4,14382723,14382719,224.729984375,1,1,36
104,4,14411306,14411302,225.17659375,1,1,53
105,4,14385994,14385990,224.78109375,1,1,250
106,4,14403942,14403938,225.06153125,1,1,175
107,4,14392346,14392342,224.88034375,1,1,54
108,4,14398637,14398633,224.978640625,1,1,48
109,4,14390558,14390554,224.85240625,1,1,57
110,4,14405967,14405963,225.093171875,1,1,97
111,4,14372557,14372553,224.571140625,1,1,78
112,4,14398674,14398670,224.97921875,1,1,76
113,4,14394758,14394754,224.91803125,1,1,175
114,4,14396343,14396339,224.942796875,1,1,52
115,4,14375772,14375768,224.621375,1,1,101
116,4,14396781,14396777,224.949640625,1,1,239
117,4,14365253,14365249,224.457015625,1,1,223
118,4,14393733,14393729,224.902015625,1,1,185
119,4,14395618,14395614,224.93146875,1,1,69
120,4,14380238,14380234,224.69115625,1,1,217
121,4,14403949,14403945,225.061640625,1,1,10
122,4,14390326,14390322,224.84878125,1,1,34
123,4,14384208,14384204,224.7531875,1,1,158
124,4,14371874,14371870,224.56046875,1,1,48
125,4,14402632,14402628,225.0410625,1,1,206
126,4,14384956,14384952,224.764875,1,1,34
127,4,14403117,14403113,225.048640625,1,1,124
128,4,14399953,14399949,224.999203125,1,1,28
129,4,14402675,14402671,225.041734375,1,1,240
130,4,14380783,14380779,224.699671875,1,1,228
131,4,14382747,14382743,224.730359375,1,1,31
132,4,14385506,14385502,224.77346875,1,1,220
133,4,14401971,14401967,225.030734375,1,1,137
134,4,14385238,14385234,224.76928125,1,1,55
135,4,14411250,14411246,225.17571875,1,1,193
136,4,14399722,14399718,224.99559375,1,1,5
137,4,14399653,14399649,224.994515625,1,1,40
138,4,14405905,14405901,225.092203125,1,1,206
139,4,14395738,14395734,224.93334375,1,1,69
140,4,14404983,14404979,225.077796875,1,1,82
141,4,14397844,14397840,224.96625,1,1,26
142,4,14394849,14394845,224.919453125,1,1,157
143,4,14388944,14388940,224.8271875,1,1,84
144,4,14402513,14402509,225.039203125,1,1,183
145,4,14376979,14376975,224.640234375,1,1,120
146,4,14393577,14393573,224.899578125,1,1,121
147,4,14389588,14389584,224.83725,1,1,248
148,4,14400011,14400007,225.000109375,1,1,231
149,4,14372027,14372023,224.562859375,1,1,135
150,4,14387865,14387861,224.810328125,1,1,49
151,4,14380188,14380184,224.690375,1,1,10
152,4,14376994,14376990,224.64046875,1,1,65
153,4,14368998,14368994,224.51553125,1,1,216
154,4,14377439,14377435,224.647421875,1,1,218
155,4,14402374,14402370,225.03703125,1,1,211
156,4,14359524,14359520,224.3675,1,1,111
157,4,14387863,14387859,224.810296875,1,1,253
158,4,14365492,14365488,224.46075,1,1,192
159,4,14389535,14389531,224.836421875,1,1,19
160,4,14341340,14341336,224.083375,1,1,78
161,4,14398461,14398457,224.975890625,1,1,221
162,4,14364729,14364725,224.448828125,1,1,196
163,4,14398567,14398563,224.977546875,1,1,67
164,4,14388702,14388698,224.82340625,1,1,219
165,4,14408666,14408662,225.13534375,1,1,12
166,4,14398221,14398217,224.972140625,1,1,8
167,4,14402432,14402428,225.0379375,1,1,137
168,4,14371024,14371020,224.5471875,1,1,241
169,4,14381002,14380998,224.70309375,1,1,170
170,4,14382308,14382304,224.7235,1,1,56
171,4,14374945,14374941,224.608453125,1,1,71
172,4,14394891,14394887,224.920109375,1,1,61
173,4,14393867,14393863,224.904109375,1,1,187
174,4,14395960,14395956,224.9368125,1,1,51
175,4,14391945,14391941,224.874078125,1,1,46
176,4,14412971,14412967,225.202609375,1,1,227
177,4,14372107,14372103,224.564109375,1,1,135
178,4,14397292,14397288,224.957625,1,1,8
179,4,14377949,14377945,224.655390625,1,1,25
180,4,14374858,14374854,224.60709375,1,1,137
181,4,14372010,14372006,224.56259375,1,1,76
182,4,14411716,14411712,225.183,1,1,211
183,4,14374173,14374169,224.596390625,1,1,255
184,4,14407698,14407694,225.12021875,1,1,17
185,4,14386188,14386184,224.784125,1,1,117
186,4,14403446,14403442,225.05378125,1,1,86
187,4,14401345,14401341,225.020953125,1,1,123
188,4,14395062,14395058,224.92278125,1,1,178
189,4,14399821,14399817,224.997140625,1,1,113
190,4,14377077,14377073,224.641765625,1,1,42
191,4,14401102,14401098,225.01715625,1,1,185
192,4,14381021,14381017,224.703390625,1,1,23
193,4,14411407,14411403,225.178171875,1,1,202
194,4,14386985,14386981,224.796578125,1,1,183
195,4,14410330,14410326,225.16134375,1,1,66
196,4,14386401,14386397,224.787453125,1,1,221
197,4,14382490,14382486,224.72634375,1,1,211
198,4,14385116,14385112,224.767375,1,1,158
199,4,14410625,14410621,225.165953125,1,1,21
200,4,14385428,14385424,224.77225,1,1,246
201,4,14405537,14405533,225.086453125,1,1,139
202,4,14390455,14390451,224.850796875,1,1,100
203,4,14396325,14396321,224.942515625,1,1,232
204,4,14390308,14390304,224.8485,1,1,156
205,4,14373830,14373826,224.59103125,1,1,239
206,4,14402654,14402650,225.04140625,1,1,129
207,4,14374515,14374511,224.601734375,1,1,252
208,4,14381120,14381116,224.7049375,1,1,210
209,4,14392844,14392840,224.888125,1,1,137
210,4,14412870,14412866,225.20103125,1,1,178
211,4,14387335,14387331,224.802046875,1,1,33
212,4,14407721,14407717,225.120578125,1,1,59
213,4,14393646,14393642,224.90065625,1,1,34
214,4,14402236,14402232,225.034875,1,1,213
215,4,14403567,14403563,225.055671875,1,1,159
216,4,14406129,14406125,225.095703125,1,1,162
217,4,14391592,14391588,224.8685625,1,1,210
218,4,14423670,14423666,225.36978125,1,1,59
219,4,14398220,14398216,224.972125,1,1,25
220,4,14378300,14378296,224.660875,1,1,206
221,4,14376180,14376176,224.62775,1,1,232
222,4,14382318,14382314,224.72365625,1,1,185
223,4,14403743,14403739,225.058421875,1,1,237
224,4,14388174,14388170,224.81515625,1,1,163
225,4,14419331,14419327,225.301984375,1,1,61
226,4,14389691,14389687,224.838859375,1,1,162
227,4,14403683,14403679,225.057484375,1,1,172
228,4,14374797,14374793,224.606140625,1,1,183
229,4,14419224,14419220,225.3003125,1,1,43
230,4,14382522,14382518,224.72684375,1,1,39
231,4,14393564,14393560,224.899375,1,1,39
232,4,14373555,14373551,224.586734375,1,1,241
233,4,14399342,14399338,224.98965625,1,1,49
234,4,14381478,14381474,224.71053125,1,1,239
235,4,14406399,14406395,225.099921875,1,1,182
236,4,14387781,14387777,224.809015625,1,1,25
237,4,14410395,14410391,225.162359375,1,1,157
238,4,14395101,14395097,224.923390625,1,1,95
239,4,14389835,14389831,224.841109375,1,1,235
240,4,14413963,14413959,225.218109375,1,1,248
241,4,14394098,14394094,224.90771875,1,1,245
242,4,14421359,14421355,225.333671875,1,1,167
243,4,14394837,14394833,224.919265625,1,1,22
244,4,14403789,14403785,225.059140625,1,1,155
245,4,14410384,14410380,225.1621875,1,1,209
246,4,14424078,14424074,225.37615625,1,1,139
247,4,14380001,14379997,224.687453125,1,1,104
248,4,14403339,14403335,225.052109375,1,1,176
249,4,14374981,14374977,224.609015625,1,1,236
250,4,14402677,14402673,225.041765625,1,1,130
251,4,14380608,14380604,224.6969375,1,1,144
252,4,14413173,14413169,225.205765625,1,1,144
253,4,14386389,14386385,224.787265625,1,1,119
254,4,14409990,14409986,225.15603125,1,1,89
255,4,14396713,14396709,224.948578125,1,1,29
256,4,14383043,14383039,224.734984375,1,1,69
257,4,14387776,14387772,224.8089375,1,1,218
258,4,14390995,14390991,224.859234375,1,1,10
259,4,14416656,14416652,225.2601875,1,1,171
260,4,14380668,14380664,224.697875,1,1,146
261,4,14398081,14398077,224.969953125,1,1,209
262,4,14381088,14381084,224.7044375,1,1,171
263,4,14400512,14400508,225.0079375,1,1,116
264,4,14385418,14385414,224.77209375,1,1,14
265,4,14392107,14392103,224.876609375,1,1,32
266,4,14374888,14374884,224.6075625,1,1,236
267,4,14397580,14397576,224.962125,1,1,38
268,4,14386027,14386023,224.781609375,1,1,212
269,4,14382416,14382412,224.7251875,1,1,105
270,4,14389214,14389210,224.83140625,1,1,73
271,4,14405307,14405303,225.082859375,1,1,112
272,4,14391559,14391555,224.868046875,1,1,213
273,4,14376252,14376248,224.628875,1,1,226
274,4,14399206,14399202,224.98753125,1,1,126
275,4,14377200,14377196,224.6436875,1,1,203
276,4,14410846,14410842,225.16940625,1,1,221
277,4,14375954,14375950,224.62421875,1,1,116
278,4,14388481,14388477,224.819953125,1,1,207
279,4,14370147,14370143,224.533484375,1,1,251
280,4,14406151,14406147,225.096046875,1,1,143
281,4,14368391,14368387,224.506046875,1,1,99
282,4,14389578,14389574,224.83709375,1,1,229
283,4,14362369,14362365,224.411953125,1,1,244
284,4,14374634,14374630,224.60359375,1,1,97
285,4,14358343,14358339,224.349046875,1,1,77
286,4,14394967,14394963,224.921296875,1,1,161
287,4,14370994,14370990,224.54671875,1,1,76
288,4,14362653,14362649,224.416390625,1,1,26
289,4,14357478,14357474,224.33553125,1,1,180
290,4,14376067,14376063,224.625984375,1,1,160
291,4,14385580,14385576,224.774625,1,1,55
292,4,14383480,14383476,224.7418125,1,1,141
293,4,14410533,14410529,225.164515625,1,1,20
294,4,14380112,14380108,224.6891875,1,1,7
295,4,14418066,14418062,225.28221875,1,1,178
296,4,14376831,14376827,224.637921875,1,1,40
297,4,14408800,14408796,225.1374375,1,1,59
298,4,14390742,14390738,224.85528125,1,1,93
299,4,14398174,14398170,224.97140625,1,1,239
