algo,outage_ms,alpha,iter_num,stop_occurred,min_trust
ZKP,3000,0.1,2,1,28.24
ZKP,500,0.1,4,0,81.0
ZKP,1000,0.3,2,1,16.81
ZKP,250,0.3,4,0,70.0
ZKP,500,0.1,1,0,81.0
ZKP,250,0.5,4,0,50.0
ZKP,3000,0.1,1,1,28.24
ZKP,3000,0.5,1,1,0.02
ZKP,5000,0.5,2,1,0.0
ZKP,250,0.1,5,0,90.0
ZKP,1000,0.3,1,1,24.01
ZKP,5000,0.5,4,1,0.0
ZKP,3000,0.3,3,1,0.97
ZKP,3000,0.3,2,1,0.97
ZKP,500,0.3,3,0,49.0
ZKP,250,0.3,2,0,70.0
ZKP,250,0.3,1,0,70.0
ZKP,5000,0.1,2,1,12.16
ZKP,500,0.3,4,0,64.3
ZKP,5000,0.3,4,1,0.06
ZKP,3000,0.3,4,1,0.97
ZKP,500,0.1,2,0,82.9
ZKP,3000,0.5,2,1,0.01
ZKP,500,0.3,2,0,49.0
ZKP,250,0.3,3,0,70.0
ZKP,1000,0.1,4,0,59.05
ZKP,250,0.5,1,0,50.0
ZKP,250,0.5,2,0,50.0
ZKP,3000,0.5,5,1,0.01
ZKP,3000,0.1,4,1,25.42
ZKP,5000,0.3,5,1,0.06
ZKP,250,0.1,1,0,90.0
ZKP,1000,0.5,5,1,3.12
ZKP,3000,0.1,3,1,25.42
ZKP,250,0.1,2,0,90.0
ZKP,250,0.1,4,0,90.0
ZKP,3000,0.1,5,1,25.42
ZKP,500,0.3,5,0,49.0
ZKP,3000,0.3,1,1,0.97
ZKP,5000,0.3,1,1,0.04
ZKP,5000,0.1,1,1,9.85
ZKP,500,0.1,3,0,72.9
ZKP,500,0.1,5,0,81.0
ZKP,500,0.5,3,1,25.0
ZKP,1000,0.3,5,0,34.3
ZKP,3000,0.5,4,1,0.01
ZKP,1000,0.1,2,0,59.05
ZKP,500,0.3,1,0,49.0
ZKP,500,0.5,4,1,25.0
ZKP,1000,0.3,3,1,24.01
ZKP,250,0.3,5,0,70.0
ZKP,5000,0.1,3,1,10.94
ZKP,1000,0.1,1,0,65.61
ZKP,1000,0.1,5,0,59.05
ZKP,3000,0.5,3,1,0.01
ZKP,5000,0.5,3,1,0.0
ZKP,250,0.5,5,0,75.0
ZKP,5000,0.3,2,1,0.08
ZKP,500,0.5,1,1,25.0
ZKP,1000,0.3,4,1,24.01
ZKP,1000,0.5,2,1,3.12
ZKP,250,0.1,3,0,90.0
ZKP,5000,0.1,5,1,10.94
ZKP,3000,0.3,5,1,0.97
ZKP,5000,0.3,3,1,0.04
ZKP,1000,0.1,3,0,65.61
ZKP,500,0.5,5,1,25.0
ZKP,500,0.5,2,1,25.0
ZKP,5000,0.5,5,1,0.0
ZKP,1000,0.5,1,1,3.12
ZKP,1000,0.5,4,1,3.12
ZKP,5000,0.5,1,1,0.0
ZKP,5000,0.1,4,1,10.94
ZKP,1000,0.5,3,1,3.12
ZKP,250,0.5,3,0,50.0
