timestamp,trial_num,algorithm,cycle,exec_time_ms,trust_score
1786387282.2854636,1,ZKP,0,333.84,100.0
1786387282.2913651,1,ZKP,1,333.42,100.0
1786387282.294533,1,ZKP,2,333.74,100.0
1786387282.2977526,1,ZKP,3,333.86,100.0
1786387282.3009496,1,ZKP,4,333.57,100.0
1786387282.3227303,1,ZKP,5,333.67,100.0
1786387282.6643949,1,ZKP,6,333.59,100.0
1786387283.0065026,1,ZKP,7,333.82,100.0
1786387283.3474846,1,ZKP,8,333.58,100.0
1786387283.6902463,1,ZKP,9,333.63,100.0
1786387285.8646472,1,ECC,0,111.27,100.0
1786387285.9856787,1,ECC,1,111.13,100.0
1786387286.1070316,1,ECC,2,111.06,100.0
1786387286.2285903,1,ECC,3,111.28,100.0
1786387286.3491228,1,ECC,4,111.13,100.0
1786387286.4701848,1,ECC,5,111.24,100.0
1786387286.591707,1,ECC,6,111.46,100.0
1786387286.7124248,1,ECC,7,111.11,100.0
1786387286.833529,1,ECC,8,111.17,100.0
1786387286.954391,1,ECC,9,111.24,100.0
1786387287.0753448,1,ECC,10,111.27,100.0
1786387287.1948717,1,ECC,11,111.28,100.0
1786387287.317527,1,ECC,12,111.11,100.0
1786387287.4384515,1,ECC,13,111.12,100.0
1786387287.5586934,1,ECC,14,111.19,100.0
1786387287.6807263,1,ECC,15,111.23,100.0
1786387287.8016858,1,ECC,16,111.15,100.0
1786387287.9215994,1,ECC,17,111.21,100.0
1786387288.0430448,1,ECC,18,111.19,100.0
1786387288.164385,1,ECC,19,111.14,100.0
1786387288.2851841,1,ECC,20,111.09,100.0
1786387288.4056232,1,ECC,21,111.28,100.0
1786387288.5285316,1,ECC,22,111.22,100.0
1786387288.6495597,1,ECC,23,111.36,100.0
1786387288.7712057,1,ECC,24,111.2,100.0
1786387288.8913395,1,ECC,25,111.15,100.0
1786387289.0127554,1,ECC,26,111.2,100.0
1786387289.1342986,1,ECC,27,111.11,100.0
1786387289.2551937,1,ECC,28,111.22,100.0
1786387289.3756933,1,ECC,29,111.19,100.0
1786387289.497352,1,ECC,30,111.13,100.0
1786387289.616981,1,ECC,31,111.15,100.0
1786387289.7383788,1,ECC,32,111.25,100.0
1786387289.8596587,1,ECC,33,111.3,100.0
1786387289.9809177,1,ECC,34,111.08,100.0
1786387290.1015189,1,ECC,35,111.19,100.0
1786387290.2222428,1,ECC,36,111.0,100.0
1786387290.3439648,1,ECC,37,111.13,100.0
1786387290.4652476,1,ECC,38,111.12,100.0
1786387290.5856643,1,ECC,39,111.22,100.0
1786387290.706355,1,ECC,40,111.26,100.0
1786387290.8279634,1,ECC,41,111.23,100.0
1786387290.9476972,1,ECC,42,111.19,100.0
1786387291.0694396,1,ECC,43,111.22,100.0
1786387291.190331,1,ECC,44,111.13,100.0
1786387291.311476,1,ECC,45,111.18,100.0
1786387291.4331658,1,ECC,46,111.25,100.0
1786387291.5533888,1,ECC,47,111.22,100.0
1786387291.6723914,1,ECC,48,111.14,100.0
1786387291.7963758,1,ECC,49,111.22,100.0
1786387321.2746792,2,ZKP,0,333.39,100.0
1786387321.2802014,2,ZKP,1,333.58,100.0
1786387321.2843332,2,ZKP,2,333.61,100.0
1786387321.2878952,2,ZKP,3,333.52,100.0
1786387321.291192,2,ZKP,4,333.79,100.0
1786387321.3054488,2,ZKP,5,333.68,100.0
1786387321.6507158,2,ZKP,6,333.65,100.0
1786387321.9925096,2,ZKP,7,333.76,100.0
1786387322.333917,2,ZKP,8,333.59,100.0
1786387322.676064,2,ZKP,9,333.65,100.0
1786387324.8511977,2,ECC,0,111.08,100.0
1786387324.9723337,2,ECC,1,111.05,100.0
1786387325.0927851,2,ECC,2,111.04,100.0
1786387325.214527,2,ECC,3,111.23,100.0
1786387325.3355925,2,ECC,4,111.14,100.0
1786387325.4557035,2,ECC,5,111.15,100.0
1786387325.5766203,2,ECC,6,111.19,100.0
1786387325.697037,2,ECC,7,111.28,100.0
1786387325.818903,2,ECC,8,111.28,100.0
1786387325.9409494,2,ECC,9,111.25,100.0
1786387326.0613291,2,ECC,10,111.15,100.0
1786387326.182987,2,ECC,11,111.26,100.0
1786387326.3024306,2,ECC,12,110.89,100.0
1786387326.4247272,2,ECC,13,111.18,100.0
1786387326.5460193,2,ECC,14,111.36,100.0
1786387326.6657178,2,ECC,15,111.07,100.0
1786387326.7869525,2,ECC,16,111.26,100.0
1786387326.9087954,2,ECC,17,111.3,100.0
1786387327.0289445,2,ECC,18,111.3,100.0
1786387327.1507258,2,ECC,19,111.32,100.0
1786387327.271064,2,ECC,20,111.33,100.0
1786387327.3918378,2,ECC,21,111.21,100.0
1786387327.5137618,2,ECC,22,111.24,100.0
1786387327.634854,2,ECC,23,111.22,100.0
