timestamp,payload_bytes,latency_ms,trust_score,evicted
1.05,1,113.77,100,False
2.05,1,115.82,100,False
3.05,1,117.61,100,False
4.05,1,116.14,100,False
5.05,1,117.42,100,False
6.05,1,116.04,100,False
7.05,1,116.17,100,False
8.05,1,114.17,100,False
9.07,8,141.3,100,False
10.07,8,138.0,100,False
11.07,8,139.31,100,False
12.07,8,139.89,100,False
13.07,8,137.99,100,False
14.08,8,145.17,100,False
15.07,8,143.26,100,False
16.07,8,137.0,100,False
17.15,32,220.51,90,False
18.15,32,220.25,85,False
19.16,32,222.72,82,False
20.16,32,229.96,80,False
21.14,32,209.14,82,False
22.14,32,211.12,82,False
23.15,32,219.02,81,False
24.15,32,216.38,81,False
25.26,64,324.21,75,False
26.25,64,316.87,64,False
27.25,64,322.07,57,False
28.25,64,314.92,55,False
29.26,64,325.24,52,False
30.24,64,312.27,53,False
31.26,64,326.75,51,False
32.24,64,310.28,53,False
33.05,1,114.41,100,False
34.05,1,114.8,100,False
35.05,1,117.27,100,False
36.05,1,115.02,100,False
37.05,1,117.35,100,False
38.05,1,113.91,100,False
39.05,1,114.63,100,False
40.05,1,116.06,100,False
41.07,8,136.03,100,False
42.07,8,141.58,100,False
43.07,8,138.12,100,False
44.07,8,139.78,100,False
45.07,8,137.24,100,False
46.08,8,140.35,100,False
47.08,8,139.97,100,False
48.07,8,134.23,100,False
49.16,32,220.36,90,False
50.16,32,227.86,84,False
51.15,32,212.0,83,False
52.16,32,223.41,81,False
53.15,32,219.71,81,False
54.16,32,220.46,80,False
55.15,32,214.63,81,False
56.15,32,214.4,81,False
57.27,64,334.79,74,False
58.27,64,333.31,61,False
59.25,64,312.95,57,False
60.25,64,310.78,56,False
61.24,64,311.8,55,False
62.25,64,320.1,53,False
63.25,64,317.56,53,False
64.26,64,327.29,51,False
65.05,1,117.05,100,False
66.05,1,116.83,100,False
67.05,1,116.21,100,False
68.05,1,115.54,100,False
69.05,1,117.58,100,False
70.05,1,117.29,100,False
71.05,1,114.25,100,False
72.05,1,114.51,100,False
73.08,8,142.14,100,False
74.07,8,130.77,100,False
75.08,8,143.63,100,False
76.07,8,138.03,100,False
77.07,8,135.91,100,False
78.07,8,136.59,100,False
79.07,8,136.83,100,False
80.08,8,139.39,100,False
81.15,32,215.32,91,False
82.15,32,214.17,86,False
83.16,32,220.3,83,False
84.15,32,213.78,82,False
85.16,32,223.05,81,False
86.16,32,222.87,80,False
87.16,32,220.89,80,False
88.15,32,214.47,81,False
89.25,64,320.14,76,False
90.24,64,308.47,65,False
91.27,64,330.08,57,False
92.27,64,333.59,52,False
93.25,64,313.31,53,False
94.27,64,337.24,50,False
95.27,64,332.52,49,False
96.26,64,318.68,50,False
97.06,1,117.43,100,False
98.05,1,115.33,100,False
99.05,1,114.75,100,False
100.05,1,114.99,100,False
101.05,1,115.78,100,False
102.05,1,116.17,100,False
103.05,1,115.96,100,False
104.05,1,115.32,100,False
105.08,8,141.43,100,False
106.07,8,135.18,100,False
107.08,8,138.07,100,False
108.08,8,143.24,100,False
109.08,8,141.61,100,False
110.07,8,137.18,100,False
111.08,8,138.13,100,False
112.08,8,142.93,100,False
113.15,32,210.45,91,False
114.15,32,209.67,87,False
115.15,32,207.72,85,False
116.16,32,222.22,82,False
117.16,32,216.75,81,False
118.16,32,219.91,81,False
119.16,32,219.21,81,False
120.15,32,215.69,81,False
121.25,64,316.83,76,False
122.27,64,329.04,62,False
123.26,64,325.53,56,False
124.26,64,324.64,53,False
125.27,64,335.37,50,False
126.26,64,325.02,50,False
127.27,64,330.14,49,False
128.26,64,318.38,50,False
129.06,1,116.44,100,False
130.05,1,115.24,100,False
131.06,1,116.02,100,False
132.06,1,116.59,100,False
133.05,1,116.32,100,False
134.05,1,114.67,100,False
135.05,1,114.0,100,False
136.06,1,117.41,100,False
137.08,8,141.83,100,False
138.08,8,138.12,100,False
139.08,8,136.52,100,False
140.07,8,134.34,100,False
141.08,8,137.65,100,False
142.07,8,134.19,100,False
143.08,8,138.44,100,False
144.07,8,135.02,100,False
145.15,32,215.02,91,False
146.16,32,221.15,85,False
147.17,32,228.22,81,False
148.16,32,221.28,80,False
149.17,32,227.85,79,False
150.15,32,210.72,81,False
151.15,32,210.94,82,False
152.16,32,218.46,81,False
153.28,64,332.14,74,False
154.27,64,327.34,62,False
155.26,64,317.77,57,False
156.27,64,324.14,54,False
157.27,64,323.69,52,False
158.27,64,329.55,50,False
159.27,64,325.74,50,False
160.27,64,322.24,50,False
161.06,1,116.12,100,False
162.06,1,117.57,100,False
163.06,1,115.92,100,False
164.06,1,115.83,100,False
165.06,1,116.56,100,False
166.06,1,116.35,100,False
167.06,1,115.12,100,False
168.06,1,113.76,100,False
169.08,8,136.03,100,False
170.09,8,140.85,100,False
171.08,8,134.82,100,False
172.09,8,140.21,100,False
173.09,8,137.5,100,False
174.08,8,133.63,100,False
175.09,8,138.55,100,False
176.09,8,142.05,100,False
177.16,32,215.58,91,False
178.16,32,215.41,86,False
179.17,32,225.47,82,False
180.16,32,216.1,82,False
181.16,32,219.68,81,False
182.17,32,220.66,80,False
183.15,32,203.21,82,False
184.17,32,221.98,81,False
185.27,64,318.88,76,False
186.26,64,319.99,64,False
187.28,64,332.22,56,False
188.26,64,316.72,54,False
189.25,64,308.88,54,False
190.27,64,326.67,52,False
191.28,64,339.13,49,False
192.27,64,327.34,49,False
193.06,1,114.88,100,False
194.06,1,113.77,100,False
195.06,1,115.41,100,False
196.06,1,115.38,100,False
197.06,1,116.63,100,False
198.06,1,114.56,100,False
199.06,1,115.35,100,False
200.07,1,116.97,100,False
201.08,8,138.65,100,False
202.08,8,135.82,100,False
203.09,8,138.46,100,False
204.08,8,136.19,100,False
205.08,8,138.63,100,False
206.09,8,140.72,100,False
207.09,8,137.97,100,False
208.09,8,135.35,100,False
209.15,32,202.83,92,False
210.17,32,219.14,86,False
211.16,32,214.12,84,False
212.17,32,221.86,82,False
213.17,32,226.22,80,False
214.16,32,216.17,81,False
215.16,32,214.85,81,False
216.17,32,219.79,81,False
217.26,64,313.87,77,False
218.28,64,333.78,62,False
219.27,64,322.93,56,False
220.28,64,334.32,52,False
221.27,64,323.45,51,False
222.26,64,315.87,52,False
223.27,64,328.56,50,False
224.26,64,316.55,51,False
225.07,1,116.14,100,False
226.06,1,115.92,100,False
227.07,1,115.37,100,False
228.06,1,116.07,100,False
229.06,1,114.09,100,False
230.07,1,116.15,100,False
231.06,1,115.27,100,False
232.06,1,115.05,100,False
233.09,8,137.52,100,False
234.08,8,136.87,100,False
235.09,8,141.3,100,False
236.09,8,145.68,100,False
237.09,8,140.32,100,False
238.08,8,133.35,100,False
239.08,8,135.96,100,False
240.09,8,136.98,100,False
241.16,32,211.8,91,False
242.18,32,230.58,84,False
243.15,32,207.87,84,False
244.16,32,211.7,83,False
245.16,32,214.44,82,False
246.17,32,219.36,81,False
247.17,32,219.66,81,False
248.17,32,223.53,80,False
249.27,64,324.13,75,False
250.28,64,325.3,62,False
251.27,64,322.27,56,False
252.28,64,333.61,52,False
253.27,64,320.9,52,False
254.27,64,324.71,51,False
255.27,64,325.55,50,False
256.26,64,313.59,52,False
257.06,1,114.22,100,False
258.06,1,114.42,100,False
259.07,1,117.01,100,False
260.07,1,117.07,100,False
261.06,1,114.84,100,False
262.06,1,113.87,100,False
263.06,1,114.41,100,False
264.07,1,116.73,100,False
265.09,8,138.92,100,False
266.09,8,137.97,100,False
267.09,8,137.29,100,False
268.09,8,141.41,100,False
269.09,8,140.67,100,False
270.09,8,142.4,100,False
271.09,8,139.86,100,False
272.09,8,135.47,100,False
273.16,32,210.93,91,False
274.17,32,220.6,85,False
275.17,32,216.03,83,False
276.16,32,215.84,82,False
277.17,32,216.85,81,False
278.16,32,208.3,82,False
279.16,32,212.7,82,False
280.16,32,209.24,83,False
281.27,64,325.71,75,False
282.27,64,318.73,63,False
283.28,64,330.97,56,False
284.27,64,322.98,53,False
285.26,64,315.39,53,False
286.26,64,312.04,53,False
287.27,64,325.71,51,False
288.28,64,327.14,50,False
289.06,1,114.71,100,False
290.07,1,114.35,100,False
291.06,1,114.62,100,False
292.07,1,117.33,100,False
293.07,1,117.12,100,False
294.07,1,116.6,100,False
295.07,1,115.84,100,False
296.07,1,115.59,100,False
297.09,8,138.6,100,False
298.09,8,135.25,100,False
299.09,8,140.94,100,False
300.1,8,145.94,100,False
301.09,8,143.76,100,False
302.08,8,133.88,100,False
303.09,8,138.18,100,False
304.09,8,133.95,100,False
305.17,32,213.07,91,False
306.17,32,211.65,87,False
307.17,32,215.26,84,False
308.17,32,219.86,82,False
309.17,32,223.74,80,False
310.18,32,234.9,78,False
311.17,32,216.74,79,False
312.17,32,219.51,80,False
313.28,64,329.39,74,False
314.26,64,306.06,65,False
315.27,64,317.51,59,False
316.27,64,320.79,55,False
317.28,64,327.92,52,False
318.29,64,340.28,49,False
319.27,64,323.63,50,False
320.27,64,321.99,50,False
321.07,1,115.62,100,False
322.07,1,117.5,100,False
323.07,1,115.68,100,False
324.07,1,114.38,100,False
325.07,1,115.9,100,False
326.07,1,113.95,100,False
327.07,1,116.06,100,False
328.07,1,117.34,100,False
329.1,8,142.86,100,False
330.09,8,136.31,100,False
331.09,8,137.3,100,False
332.09,8,140.71,100,False
333.09,8,134.3,100,False
334.09,8,139.55,100,False
335.09,8,141.51,100,False
336.09,8,136.36,100,False
337.17,32,221.9,90,False
338.17,32,211.4,86,False
339.17,32,220.92,83,False
340.17,32,217.74,82,False
341.17,32,217.73,81,False
342.17,32,219.99,81,False
343.17,32,217.84,81,False
344.16,32,209.19,82,False
345.28,64,329.42,74,False
346.28,64,325.12,62,False
347.28,64,328.52,55,False
348.28,64,323.83,53,False
349.26,64,306.3,54,False
350.28,64,332.85,51,False
351.28,64,327.82,50,False
352.28,64,331.05,49,False
353.07,1,116.19,100,False
354.07,1,116.83,100,False
355.07,1,114.7,100,False
356.07,1,114.78,100,False
357.07,1,116.59,100,False
358.07,1,117.17,100,False
359.07,1,114.55,100,False
360.07,1,115.96,100,False
361.09,8,137.32,100,False
362.09,8,140.87,100,False
363.09,8,134.54,100,False
364.09,8,134.39,100,False
365.1,8,144.49,100,False
366.09,8,137.58,100,False
367.1,8,142.27,100,False
368.09,8,139.08,100,False
369.19,32,232.48,88,False
370.17,32,218.12,84,False
371.17,32,216.75,82,False
372.17,32,218.32,81,False
373.18,32,221.75,80,False
374.17,32,215.84,81,False
375.16,32,212.4,82,False
376.17,32,215.65,82,False
377.27,64,314.53,76,False
378.28,64,331.24,62,False
379.26,64,313.96,58,False
380.3,64,346.99,51,False
381.28,64,327.73,50,False
382.28,64,321.88,50,False
383.27,64,319.07,51,False
384.29,64,333.44,49,False
385.07,1,115.22,100,False
386.07,1,114.4,100,False
387.07,1,113.83,100,False
388.07,1,116.18,100,False
389.07,1,115.21,100,False
390.07,1,117.08,100,False
391.07,1,115.83,100,False
392.07,1,116.98,100,False
393.09,8,139.17,100,False
394.09,8,138.92,100,False
395.1,8,143.11,100,False
396.09,8,135.62,100,False
397.09,8,139.67,100,False
398.09,8,136.25,100,False
399.09,8,139.47,100,False
400.09,8,140.07,100,False
401.17,32,217.11,90,False
402.16,32,210.94,86,False
403.18,32,221.27,83,False
404.17,32,218.56,82,False
405.17,32,218.61,81,False
406.17,32,215.22,81,False
407.16,32,202.9,83,False
408.17,32,215.94,82,False
409.29,64,330.15,74,False
410.28,64,320.9,63,False
411.27,64,316.16,58,False
412.27,64,314.45,56,False
413.28,64,326.78,53,False
414.27,64,317.5,53,False
415.29,64,333.63,50,False
416.27,64,308.15,52,False
417.07,1,114.72,100,False
418.07,1,113.93,100,False
419.07,1,114.18,100,False
420.07,1,115.88,100,False
421.07,1,114.13,100,False
422.07,1,115.9,100,False
423.07,1,115.56,100,False
424.07,1,114.15,100,False
425.09,8,136.55,100,False
426.1,8,139.42,100,False
427.1,8,141.03,100,False
428.1,8,137.34,100,False
429.1,8,139.42,100,False
430.1,8,142.3,100,False
431.09,8,132.08,100,False
432.1,8,138.57,100,False
433.17,32,218.39,90,False
434.19,32,227.15,84,False
435.17,32,210.64,83,False
436.16,32,207.56,83,False
437.17,32,218.84,82,False
438.17,32,216.79,81,False
439.18,32,220.74,80,False
440.18,32,224.87,79,False
441.28,64,324.43,75,False
442.28,64,324.61,63,False
443.29,64,335.57,55,False
444.27,64,308.56,55,False
445.28,64,322.19,53,False
446.27,64,310.76,54,False
447.28,64,327.48,52,False
448.28,64,317.08,52,False
449.08,1,115.91,100,False
450.08,1,116.74,100,False
451.07,1,115.95,100,False
452.07,1,114.66,100,False
453.07,1,116.1,100,False
454.07,1,113.98,100,False
455.08,1,116.12,100,False
456.08,1,116.41,100,False
457.1,8,136.38,100,False
458.1,8,139.32,100,False
459.1,8,142.43,100,False
460.1,8,140.97,100,False
461.09,8,134.13,100,False
462.09,8,136.26,100,False
463.09,8,135.5,100,False
464.09,8,137.19,100,False
465.18,32,222.93,90,False
466.17,32,213.67,86,False
467.17,32,209.18,85,False
468.18,32,220.55,82,False
469.17,32,213.59,82,False
470.18,32,220.4,81,False
471.18,32,219.38,81,False
472.17,32,215.64,81,False
473.29,64,328.76,74,False
