algo,outage_ms,alpha,iter_num,stop_occurred,min_trust
ECC,250,0.1,10,0,81.0
ECC,1000,0.5,5,1,0.2
ECC,2000,0.1,6,1,16.68
ECC,2000,0.5,5,1,0.0
ECC,2000,0.1,3,1,16.68
ECC,500,0.1,1,0,65.61
ECC,250,0.1,7,0,81.0
ECC,500,0.1,6,0,59.05
ECC,500,0.1,7,0,65.61
ECC,2000,0.3,4,1,0.23
ECC,2000,0.5,6,1,0.0
ECC,500,0.5,3,1,3.12
ECC,250,0.5,9,0,50.0
ECC,500,0.5,10,1,6.25
ECC,2000,0.3,9,1,0.23
ECC,2000,0.3,1,1,0.33
ECC,500,0.5,1,1,6.25
ECC,2000,0.3,3,1,0.33
ECC,2000,0.5,8,1,0.0
ECC,500,0.1,5,0,65.61
ECC,2000,0.5,1,1,0.0
ECC,2000,0.3,7,1,0.33
ECC,2000,0.1,1,1,18.53
ECC,2000,0.5,3,1,0.0
ECC,1000,0.3,6,1,4.04
ECC,500,0.5,7,1,3.12
ECC,1000,0.5,7,1,0.2
ECC,250,0.3,8,0,49.0
ECC,1000,0.1,8,0,43.05
ECC,250,0.1,2,0,81.0
ECC,500,0.5,5,1,6.25
ECC,1000,0.3,9,1,4.04
ECC,250,0.5,10,0,50.0
ECC,250,0.1,6,0,81.0
ECC,500,0.3,10,1,24.01
ECC,2000,0.5,9,1,0.0
ECC,2000,0.3,8,1,0.23
ECC,1000,0.5,9,1,0.2
ECC,1000,0.1,7,0,43.05
ECC,2000,0.1,4,1,18.53
ECC,500,0.3,6,1,24.01
ECC,2000,0.5,4,1,0.0
ECC,250,0.1,3,0,81.0
ECC,1000,0.3,10,1,5.76
ECC,2000,0.3,2,1,0.33
ECC,1000,0.5,6,1,0.2
ECC,500,0.3,8,1,24.01
ECC,1000,0.5,8,1,0.39
ECC,500,0.3,2,1,24.01
ECC,250,0.1,1,0,81.0
ECC,250,0.5,6,0,50.0
ECC,2000,0.3,5,1,0.33
ECC,250,0.5,4,0,50.0
ECC,2000,0.3,6,1,0.23
ECC,2000,0.1,10,1,16.68
ECC,500,0.5,6,1,6.25
ECC,1000,0.3,7,1,8.24
ECC,250,0.3,2,0,49.0
ECC,500,0.3,7,0,34.3
ECC,250,0.3,7,0,49.0
ECC,500,0.5,2,1,6.25
ECC,250,0.3,4,0,49.0
ECC,250,0.3,1,0,49.0
ECC,250,0.3,10,0,49.0
ECC,500,0.1,9,0,69.05
ECC,1000,0.3,3,1,8.24
ECC,500,0.3,3,1,24.01
ECC,250,0.3,6,0,49.0
ECC,2000,0.1,7,1,18.53
ECC,1000,0.5,2,1,0.39
ECC,1000,0.5,4,1,0.2
ECC,500,0.3,4,1,24.01
ECC,1000,0.1,9,0,43.05
ECC,250,0.5,8,0,50.0
ECC,250,0.1,9,0,81.0
ECC,1000,0.5,1,1,0.2
ECC,250,0.1,4,0,81.0
ECC,250,0.5,7,1,25.0
ECC,1000,0.1,4,0,38.74
ECC,1000,0.3,5,1,8.24
ECC,250,0.3,9,0,49.0
ECC,1000,0.1,10,0,38.74
ECC,500,0.3,5,1,24.01
ECC,2000,0.5,7,1,0.0
ECC,2000,0.3,10,1,0.23
ECC,1000,0.3,1,1,5.76
ECC,1000,0.1,3,0,43.05
ECC,1000,0.1,2,0,43.05
ECC,250,0.5,1,1,25.0
ECC,1000,0.1,5,0,43.05
ECC,500,0.3,9,1,24.01
ECC,500,0.1,2,0,65.61
ECC,1000,0.3,8,1,5.76
ECC,500,0.5,4,1,3.12
ECC,500,0.3,1,1,16.81
ECC,250,0.3,3,0,64.3
ECC,500,0.1,3,0,65.61
ECC,500,0.5,8,1,6.25
ECC,2000,0.5,2,1,0.0
ECC,2000,0.1,5,1,16.68
ECC,500,0.1,10,0,65.61
ECC,2000,0.1,9,1,16.68
ECC,500,0.5,9,1,6.25
ECC,1000,0.5,10,1,0.78
ECC,250,0.5,3,1,25.0
ECC,1000,0.5,3,1,0.2
ECC,250,0.5,2,0,50.0
ECC,1000,0.3,2,1,5.76
ECC,1000,0.3,4,1,5.76
ECC,1000,0.1,1,0,47.83
ECC,250,0.3,5,0,49.0
ECC,500,0.1,8,0,65.61
ECC,250,0.1,8,0,81.0
ECC,500,0.1,4,0,65.61
ECC,2000,0.5,10,1,0.0
ECC,250,0.1,5,0,81.0
ECC,1000,0.1,6,0,38.74
ECC,250,0.5,5,1,25.0
ECC,2000,0.1,2,1,16.68
ECC,2000,0.1,8,1,16.68
