probe_ms,algo,alpha,iter,t_jam,t_detection,t_first_decay,t_eviction,detection_window_ms,eviction_latency_ms,total_exposure_ms,predicted_total_ms,residual_ms
100,ECC,0.5,1,1786557247.6573417,1786557247.7669508,1786557247.9532938,1786557248.0665996,109.61,299.65,409.26,573.5,-164.24
100,ECC,0.5,2,1786557252.5876422,1786557252.6953309,1786557252.8297238,1786557252.9530954,107.69,257.76,365.45,573.5,-208.05
100,ECC,0.5,3,1786557257.4757433,1786557257.5834439,1786557257.708175,1786557257.8314357,107.7,247.99,355.69,573.5,-217.81
100,ECC,0.5,4,1786557262.3472211,1786557262.4553988,1786557262.590223,1786557262.7136507,108.18,258.25,366.43,573.5,-207.07
100,ECC,0.5,5,1786557267.2333138,1786557267.341794,1786557267.4764452,1786557267.5896637,108.48,247.87,356.35,573.5,-217.15
100,ZKP,0.5,1,1786557272.1048288,1786557272.2132318,1786557272.6557267,1786557272.881669,108.4,668.44,776.84,817.5,-40.66
100,ZKP,0.5,2,1786557277.3968284,1786557277.50548,1786557277.7833695,1786557278.00921,108.65,503.73,612.38,817.5,-205.12
100,ZKP,0.5,3,1786557282.5322645,1786557282.6398258,1786557282.907175,1786557283.1434677,107.56,503.64,611.2,817.5,-206.3
100,ZKP,0.5,4,1786557287.6654413,1786557287.7738848,1786557288.0317008,1786557288.2680595,108.44,494.17,602.62,817.5,-214.88
100,ZKP,0.5,5,1786557292.7906523,1786557292.8985465,1786557293.156075,1786557293.3922484,107.89,493.7,601.6,817.5,-215.9
500,ECC,0.5,1,1786557297.9084802,1786557298.417627,1786557298.5830846,1786557298.7066457,509.15,289.02,798.17,1373.5,-575.33
500,ECC,0.5,2,1786557303.2247279,1786557303.7324705,1786557303.950006,1786557304.073368,507.74,340.9,848.64,1373.5,-524.86
500,ECC,0.5,3,1786557308.5939476,1786557309.1032448,1786557309.3199482,1786557309.44344,509.3,340.2,849.49,1373.5,-524.01
500,ECC,0.5,4,1786557313.9590538,1786557314.4677017,1786557314.6951566,1786557314.8089287,508.65,341.23,849.87,1373.5,-523.63
500,ECC,0.5,5,1786557319.3248336,1786557319.832582,1786557320.0598345,1786557320.183506,507.75,350.92,858.67,1373.5,-514.83
500,ZKP,0.5,1,1786557324.704,1786557325.2108653,1786557325.4791346,1786557325.7047853,506.87,493.92,1000.79,1617.5,-616.71
500,ZKP,0.5,2,1786557330.228059,1786557330.7355952,1786557331.065027,1786557331.3014636,507.54,565.87,1073.4,1617.5,-544.1
500,ZKP,0.5,3,1786557335.823262,1786557336.3305871,1786557336.6604588,1786557336.896841,507.33,566.25,1073.58,1617.5,-543.92
500,ZKP,0.5,4,1786557341.418602,1786557341.926348,1786557342.2559986,1786557342.4818263,507.75,555.48,1063.22,1617.5,-554.28
500,ZKP,0.5,5,1786557347.0043604,1786557347.5128982,1786557347.8423376,1786557348.078381,508.54,565.48,1074.02,1617.5,-543.48
