timestamp,node,algorithm,cycle,exec_time_ms,trust_score
1786388923.5268447,CRYPTO_NODE,ZKP,0,334.86,100.0
1786388923.5341809,CRYPTO_NODE,ZKP,1,334.55,100.0
1786388923.5401382,CRYPTO_NODE,ZKP,2,334.92,100.0
1786388923.5457194,CRYPTO_NODE,ZKP,3,334.76,100.0
1786388923.5515168,CRYPTO_NODE,ZKP,4,334.52,100.0
1786388923.5573118,CRYPTO_NODE,ZKP,5,334.57,100.0
1786388923.56315,CRYPTO_NODE,ZKP,6,334.5,100.0
1786388923.5686553,CRYPTO_NODE,ZKP,7,334.52,100.0
1786388923.6755788,CRYPTO_NODE,ZKP,8,334.38,100.0
1786388923.9832122,CRYPTO_NODE,ZKP,9,334.77,100.0
1786388924.2907937,CRYPTO_NODE,ZKP,10,334.47,100.0
1786388924.6228113,CRYPTO_NODE,ZKP,11,334.8,100.0
1786388924.9676318,CRYPTO_NODE,ZKP,12,334.5,100.0
1786388925.3101325,CRYPTO_NODE,ZKP,13,334.4,100.0
1786388925.652949,CRYPTO_NODE,ZKP,14,334.82,100.0
1786388925.776222,CRYPTO_NODE,ECC,0,111.59,100.0
1786388925.8972747,CRYPTO_NODE,ECC,1,111.51,100.0
1786388926.0202484,CRYPTO_NODE,ECC,2,111.56,100.0
1786388926.1413825,CRYPTO_NODE,ECC,3,111.56,100.0
1786388926.263959,CRYPTO_NODE,ECC,4,111.49,100.0
1786388926.386198,CRYPTO_NODE,ECC,5,111.52,100.0
1786388926.507984,CRYPTO_NODE,ECC,6,111.6,100.0
1786388926.6285527,CRYPTO_NODE,ECC,7,111.62,100.0
1786388926.7520766,CRYPTO_NODE,ECC,8,111.46,100.0
1786388926.8733835,CRYPTO_NODE,ECC,9,111.69,100.0
1786388926.9959545,CRYPTO_NODE,ECC,10,111.61,100.0
1786388927.119065,CRYPTO_NODE,ECC,11,111.64,100.0
1786388927.2401361,CRYPTO_NODE,ECC,12,111.61,100.0
1786388927.3615713,CRYPTO_NODE,ECC,13,111.52,100.0
1786388927.484625,CRYPTO_NODE,ECC,14,111.51,100.0
1786388927.605954,CRYPTO_NODE,ECC,15,111.51,100.0
1786388927.8182573,CRYPTO_NODE,ECC,16,111.58,100.0
1786388927.9261563,CRYPTO_NODE,ECC,17,111.5,100.0
1786388928.03262,CRYPTO_NODE,ECC,18,111.34,100.0
1786388928.139489,CRYPTO_NODE,ECC,19,111.6,100.0
1786388928.2462115,CRYPTO_NODE,ECC,20,111.5,100.0
1786388928.3535898,CRYPTO_NODE,ECC,21,111.6,100.0
1786388928.461548,CRYPTO_NODE,ECC,22,111.48,100.0
1786388928.5812187,CRYPTO_NODE,ECC,23,111.64,100.0
1786388928.8000593,CRYPTO_NODE,ECC,24,111.34,100.0
1786388928.9068584,CRYPTO_NODE,ECC,25,111.48,100.0
1786388929.0135534,CRYPTO_NODE,ECC,26,111.6,100.0
1786388929.120099,CRYPTO_NODE,ECC,27,111.67,100.0
1786388929.2278705,CRYPTO_NODE,ECC,28,111.44,100.0
1786388929.3347778,CRYPTO_NODE,ECC,29,111.46,100.0
1786388929.4411907,CRYPTO_NODE,ECC,30,111.51,100.0
1786388929.5560315,CRYPTO_NODE,ECC,31,111.5,100.0
1786388929.7690618,CRYPTO_NODE,ECC,32,111.5,100.0
1786388929.8766525,CRYPTO_NODE,ECC,33,111.47,100.0
1786388929.983767,CRYPTO_NODE,ECC,34,111.57,100.0
1786388930.0903366,CRYPTO_NODE,ECC,35,111.39,100.0
1786388930.196376,CRYPTO_NODE,ECC,36,111.5,100.0
1786388930.303772,CRYPTO_NODE,ECC,37,111.51,100.0
1786388930.4112403,CRYPTO_NODE,ECC,38,111.67,100.0
1786388930.5310116,CRYPTO_NODE,ECC,39,111.56,100.0
1786388930.6518152,CRYPTO_NODE,ECC,40,111.36,100.0
1786388930.7735646,CRYPTO_NODE,ECC,41,111.31,100.0
1786388930.8945222,CRYPTO_NODE,ECC,42,111.42,100.0
1786388931.0166993,CRYPTO_NODE,ECC,43,111.42,100.0
1786388931.1372216,CRYPTO_NODE,ECC,44,111.55,100.0
