sample_id,algorithm,cycles,latency_ms
1,ecdsa_keygen,7128917,111.39
2,ecdsa_keygen,7134140,111.47
3,ecdsa_keygen,7138729,111.54
4,ecdsa_keygen,7145539,111.65
5,ecdsa_keygen,7135346,111.49
6,ecdsa_keygen,7141478,111.59
7,ecdsa_keygen,7139150,111.55
8,ecdsa_keygen,7139704,111.56
9,ecdsa_keygen,7141787,111.59
10,ecdsa_keygen,7141332,111.58
11,ecdsa_keygen,7133582,111.46
12,ecdsa_keygen,7133771,111.47
13,ecdsa_keygen,7131317,111.43
14,ecdsa_keygen,7132021,111.44
15,ecdsa_keygen,7138933,111.55
16,ecdsa_keygen,7138244,111.54
17,ecdsa_keygen,7140222,111.57
18,ecdsa_keygen,7145297,111.65
19,ecdsa_keygen,7132157,111.44
20,ecdsa_keygen,7132166,111.44
21,ecdsa_keygen,7132373,111.44
22,ecdsa_keygen,7140608,111.57
23,ecdsa_keygen,7117920,111.22
24,ecdsa_keygen,7132109,111.44
25,ecdsa_keygen,7138580,111.54
26,ecdsa_keygen,7139508,111.55
27,ecdsa_keygen,7131811,111.43
28,ecdsa_keygen,7146105,111.66
29,ecdsa_keygen,7143166,111.61
30,ecdsa_keygen,7140752,111.57
31,ecdsa_keygen,7139682,111.56
32,ecdsa_keygen,7138708,111.54
33,ecdsa_keygen,7137408,111.52
34,ecdsa_keygen,7133920,111.47
35,ecdsa_keygen,7129588,111.4
36,ecdsa_keygen,7134396,111.47
37,ecdsa_keygen,7145069,111.64
38,ecdsa_keygen,7133431,111.46
39,ecdsa_keygen,7151783,111.75
40,ecdsa_keygen,7150212,111.72
41,ecdsa_keygen,7150139,111.72
42,ecdsa_keygen,7145259,111.64
43,ecdsa_keygen,7136575,111.51
44,ecdsa_keygen,7150264,111.72
45,ecdsa_keygen,7158082,111.85
46,ecdsa_keygen,7128886,111.39
47,ecdsa_keygen,7137149,111.52
48,ecdsa_keygen,7133881,111.47
49,ecdsa_keygen,7142123,111.6
50,ecdsa_keygen,7137662,111.53
